date,open,high,low,close,volume
2014-04-28,17.4937,17.6014,17.3175,17.572,1437882
2014-04-29,17.6014,17.6698,17.5329,17.5818,993686
2014-04-30,17.2196,17.2979,17.0924,17.2686,1479051
2014-05-01,16.4952,17.1217,16.4071,16.7987,3842250
2014-05-02,17.2294,17.3518,17.1217,17.2588,1376551
2014-05-05,17.1805,17.3077,17.1413,17.2686,751884
2014-05-06,17.2196,17.2294,17.0923,17.1413,1203726
2014-05-07,17.063,17.2098,16.9455,17.1805,1363283
2014-05-08,16.9651,17.249,16.9651,17.1217,2930910
2014-05-09,17.0238,17.0826,16.9651,17.014,1476258
2014-05-12,16.8966,17.1217,16.8868,17.0826,1168140
2014-05-13,17.2294,17.3175,17.156,17.2686,2073011
2014-05-14,16.3973,16.828,15.9372,16.1526,7187239
2014-05-15,16.1624,16.2211,15.9372,16.0449,3817984
2014-05-16,15.9078,16.0449,15.8099,16.0351,1735434
2014-05-19,15.6827,16.0204,15.6827,15.9764,3745826
2014-05-20,15.7512,15.7708,15.5946,15.6729,3188033
2014-05-21,15.7414,15.7904,15.6631,15.712,1422648
2014-05-22,15.9861,16.0253,15.8197,15.8393,2275989
2014-05-23,15.712,15.9176,15.712,15.7708,2543811
2014-05-27,16.1526,16.3581,16.133,16.2896,2469501
2014-05-28,15.947,16.0351,15.8785,15.9861,3608957
2014-05-29,15.8589,15.898,15.8099,15.8687,2850806
2014-05-30,15.8099,15.8864,15.761,15.8393,2388173
2014-06-02,15.9666,15.9861,15.8785,15.947,1249720
2014-06-03,15.7218,15.7806,15.6778,15.7414,2014578
2014-06-04,15.8393,15.9274,15.8197,15.898,1534930
2014-06-05,15.8882,15.9372,15.8197,15.898,626053
2014-06-06,15.7806,15.8785,15.7316,15.761,1700140
2014-06-09,15.8393,15.9959,15.8099,15.9568,1756287
2014-06-10,15.8099,15.8687,15.712,15.8393,2718694
2014-06-11,15.6631,15.7022,15.6239,15.6533,3253570
2014-06-12,15.7904,15.8785,15.7316,15.7512,3327243
2014-06-13,15.8001,15.898,15.7708,15.8785,2509043
2014-06-16,15.9372,15.947,15.8001,15.9176,2631172
2014-06-17,15.8001,15.8882,15.712,15.7806,3089428
2014-06-18,15.8785,15.991,15.8197,15.9568,2362629
2014-06-19,16.3581,16.4854,16.3523,16.4854,3190205
2014-06-20,16.456,16.6518,16.4462,16.6127,4126562
2014-06-23,16.505,16.5344,16.3337,16.4267,2989374
2014-06-24,16.4267,16.5931,16.2602,16.2896,3877950
2014-06-25,16.3679,16.5833,16.3581,16.5539,1736897
2014-06-26,16.4658,16.505,16.2798,16.456,1422157
2014-06-27,16.3484,16.4169,16.2945,16.4071,2376796
2014-06-30,16.3386,16.4462,16.3092,16.4169,2426164
2014-07-01,16.505,16.7987,16.505,16.7693,5101510
2014-07-02,16.6518,16.6878,16.5246,16.5637,3098328
2014-07-03,16.4071,16.5148,16.3973,16.4854,1294565
2014-07-07,16.5637,16.642,16.5441,16.5735,1278512
2014-07-08,16.5833,16.5833,16.3777,16.4169,1494231
2014-07-09,16.4071,16.4952,16.3777,16.4365,871358
2014-07-10,16.2211,16.3484,16.084,16.2994,1592174
2014-07-11,16.27,16.3288,16.1819,16.3092,1072543
2014-07-14,16.3679,16.3973,16.2994,16.319,1087407
2014-07-15,16.2505,16.2505,16.084,16.1819,1477609
2014-07-16,16.3581,16.4511,16.3484,16.4071,2187524
2014-07-17,16.2994,16.4854,16.2494,16.4365,3381630
2014-07-18,16.2994,16.4854,16.2494,16.4365,3381630
2014-07-21,16.3875,16.4169,16.2994,16.3581,1715830
2014-07-22,16.2994,16.3973,16.2994,16.3386,2409513
2014-07-23,16.4169,16.5637,16.4169,16.5344,2270868
2014-07-24,16.8672,17.0434,16.8672,16.9651,3617060
2014-07-25,17.2392,17.3469,17.2294,17.3077,2177990
2014-07-28,17.2979,17.386,17.2294,17.3371,1725636
2014-07-29,17.1902,17.2098,17.0923,17.1021,1780046
2014-07-30,17.1511,17.2392,17.1021,17.1609,1719541
2014-07-31,17.572,18.7076,17.572,18.0419,7837678
2014-08-01,17.6895,17.7336,17.4927,17.6406,3607544
2014-08-04,17.758,17.9832,17.7482,17.9147,1731729
2014-08-05,17.7189,17.807,17.5818,17.6308,1722934
2014-08-06,17.2588,17.4252,17.2392,17.3762,2639628
2014-08-07,17.1805,17.2588,16.9357,16.9749,2485915
2014-08-08,16.9357,17.0532,16.7987,17.0532,4101466
2014-08-11,17.014,17.063,16.9749,17.0042,1802622
2014-08-12,17.063,17.1119,16.9357,16.9945,1534997
2014-08-13,17.4643,17.5906,17.435,17.5622,2614525
2014-08-14,17.5133,17.6993,17.4839,17.6895,2018281
2014-08-15,17.8853,18.0517,17.8266,18.0223,3944888
2014-08-18,18.0615,18.1594,17.993,18.13,1993157
2014-08-19,18.2083,18.502,18.2083,18.4629,2993988
2014-08-20,18.4139,18.5999,18.3846,18.551,3275002
2014-08-21,18.5314,18.5314,18.4237,18.4335,2560479
2014-08-22,18.4237,18.5216,18.365,18.4629,1377610
2014-08-25,18.5608,18.6587,18.5412,18.5706,852773
2014-08-26,18.4824,18.5216,18.4531,18.4727,810075
2014-08-27,18.4629,18.5069,18.4237,18.4335,726300
2014-08-28,18.4237,18.5706,18.4237,18.502,828145
2014-08-29,18.7076,18.7761,18.6293,18.7076,1400603
2014-09-02,18.9132,19.0307,18.8544,18.9915,2319636
2014-09-03,19.3831,19.5201,19.2558,19.295,2154243
2014-09-04,19.2362,19.295,19.1775,19.2069,1884267
2014-09-05,18.8153,18.874,18.6978,18.8642,1454512
2014-09-08,18.8447,18.8544,18.7663,18.8055,794460
2014-09-09,18.8153,18.874,18.7712,18.7957,1472823
2014-09-10,18.874,19.1188,18.874,19.0894,2903746
2014-09-11,19.1873,19.432,19.1775,19.3831,3355367
2014-09-12,19.4222,19.5299,19.3537,19.4027,2350701
2014-09-15,19.4027,19.4712,19.3146,19.4516,2430858
2014-09-16,19.6278,19.9215,19.618,19.8236,2830174
2014-09-17,18.179,18.7957,18.1202,18.4824,15679449
2014-09-18,17.621,17.7385,17.5133,17.6601,10027459
2014-09-19,17.3469,17.4056,17.249,17.3175,4472656
2014-09-22,17.1217,17.1707,16.9749,16.9945,4991009
2014-09-23,17.014,17.0581,16.9455,17.0042,2496624
2014-09-24,17.0042,17.0336,16.9455,16.9847,3385028
2014-09-25,17.0923,17.0924,16.8574,16.9063,2531267
2014-09-26,17.0238,17.0923,16.9847,17.0532,1798404
2014-09-29,17.3273,17.435,17.3175,17.4056,4041758
2014-09-30,17.6699,17.7287,17.5916,17.6601,3077973
2014-10-01,17.5133,17.5476,17.3273,17.3958,2204071
2014-10-02,17.1119,17.1511,16.8574,17.0923,2310483
2014-10-03,17.1511,17.3175,17.0385,17.2392,1965461
2014-10-06,17.2881,17.4154,17.2686,17.386,1666633
2014-10-07,17.2588,17.2588,16.9945,17.0042,1604355
2014-10-08,17.2196,17.4252,17.0532,17.4154,2859716
2014-10-09,17.0238,17.1021,16.7889,16.8182,2735232
